,,Ches Bonnell,   Australia,70% Dark Bites,01/12/2021,4235,76,283
,,Jan Morforth,USA,Drinking Coco,01/12/2021,4487,161,187
,,Dennison Crosswaite,Canada,Baker's Choco Chips,01/12/2021,2653,147,332
,,Wilone O'Kielt, New Zealand,Spicy Special Slims,01/12/2021,5306,5,253
,,Marney O'Breen,   USA,50% Dark Bites,01/12/2021,6888,112,689
,,Ches Bonnell, New Zealand,Organic Choco Syrup,01/12/2021,721,45,24
,,Dotty Strutley,India,Spicy Special Slims,01/12/2021,8610,124,345
,,Brien Boise,USA,Fruit & Nut Bars,01/12/2021,11739,22,903
,,Marney O'Breen, India,Orange Choco,01/13/2021,4774,206,341
,,Brien Boise,  Canada,50% Dark Bites,01/13/2021,6307,123,789
,,Mallorie Waber, Canada,99% Dark & Pure,01/13/2021,4340,168,217
,,Andria Kimpton,India,70% Dark Bites,01/13/2021,1078,76,77
,,Jan Morforth, UK,Almond Choco,01/13/2021,5418,287,247
,,Gunar Cockshoot,USA,Choco Coated Almonds,01/13/2021,6069,268,434
,,Kelci Walkden,   USA,Choco Coated Almonds,01/13/2021,12334,119,686
,,Ches Bonnell, UK,Drinking Coco,01/13/2021,728,234,32
,,Mallorie Waber, India,Baker's Choco Chips,01/13/2021,2135,179,165
,,Kaine Padly,New Zealand,85% Dark Bars,01/13/2021,2121,130,89
,,Karlen McCaffrey,   UK,Milk Bars,01/14/2021,6881,10,222
,,Roddy Speechley, New Zealand,Drinking Coco,01/14/2021,1239,97,50
,,Marney O'Breen, Australia,Mint Chip Choco,01/14/2021,3598,365,257
,,Madelene Upcott,Canada,Smooth Sliky Salty,01/14/2021,6580,210,347
,,Ches Bonnell,   UK,Spicy Special Slims,01/14/2021,1127,97,54
,,Jehu Rudeforth,  India,Peanut Butter Cubes,01/14/2021,3605,345,139
,,Andria Kimpton, New Zealand,After Nines,01/14/2021,5096,201,196
,,Camilla Castle,USA,99% Dark & Pure,01/14/2021,2135,183,98
,,Jan Morforth,USA,Raspberry Choco,01/14/2021,35,142,3
,,Husein Augar, India,70% Dark Bites,01/14/2021,13090,17,935
,,Gigi Bohling,   UK,Smooth Sliky Salty,01/14/2021,15785,209,1128
,,Oby Sorrel,   Australia,Fruit & Nut Bars,01/14/2021,14574,86,810
,,Husein Augar,  New Zealand,Caramel Stuffed Bars,01/14/2021,3556,195,143
,,Dennison Crosswaite,  USA,Fruit & Nut Bars,01/14/2021,14532,142,969
,,Van Tuxwell,  New Zealand,Caramel Stuffed Bars,01/14/2021,4445,340,159
,,Rafaelita Blaksland,  USA,Milk Bars,01/14/2021,10339,207,357
,,Gunar Cockshoot, New Zealand,After Nines,01/14/2021,1351,282,55
,,Dennison Crosswaite,New Zealand,Baker's Choco Chips,01/14/2021,4011,260,335
,,Rafaelita Blaksland,UK,Fruit & Nut Bars,01/14/2021,5306,333,483
,,Roddy Speechley,USA,After Nines,01/14/2021,18704,78,585
,,Mallorie Waber, Canada,Smooth Sliky Salty,01/14/2021,9310,62,582
,,Wilone O'Kielt, New Zealand,Eclairs,01/14/2021,1211,37,61
,,Andria Kimpton, Canada,Raspberry Choco,01/15/2021,3094,317,148
,,Rafaelita Blaksland,   New Zealand,Raspberry Choco,01/15/2021,4949,244,248
,,Curtice Advani,New Zealand,99% Dark & Pure,01/15/2021,308,91,19
,,Husein Augar,India,Caramel Stuffed Bars,01/15/2021,7546,49,329
,,Karlen McCaffrey,  USA,85% Dark Bars,01/15/2021,6713,422,373
,,Dotty Strutley, New Zealand,Caramel Stuffed Bars,01/15/2021,6895,318,300
,,Dennison Crosswaite,   New Zealand,Mint Chip Choco,01/15/2021,3430,120,202
,,Mallorie Waber,New Zealand,White Choc,01/18/2021,4165,61,348
,,Camilla Castle,   India,Almond Choco,01/18/2021,2380,209,159
,,Gunar Cockshoot, UK,White Choc,01/18/2021,6594,114,413
,,Wilone O'Kielt,Australia,Raspberry Choco,01/18/2021,1428,55,76
,,Beverie Moffet,   Australia,Drinking Coco,01/18/2021,2646,150,116
,,Brien Boise,   India,Milk Bars,01/18/2021,238,364,11
,,Roddy Speechley, Australia,Raspberry Choco,01/18/2021,945,298,50
,,Husein Augar, UK,Spicy Special Slims,01/18/2021,9436,102,337
,,Rafaelita Blaksland, USA,Spicy Special Slims,01/18/2021,4081,116,152
,,Wilone O'Kielt,  USA,99% Dark & Pure,01/18/2021,10556,25,587
,,Barr Faughny,   USA,White Choc,01/18/2021,2331,38,167
,,Husein Augar,Canada,Organic Choco Syrup,01/19/2021,896,346,32
,,Oby Sorrel,India,Manuka Honey Choco,01/19/2021,4214,314,169
,,Oby Sorrel, Canada,Orange Choco,01/19/2021,2121,90,177
,,Van Tuxwell, India,85% Dark Bars,01/19/2021,1029,386,47
,,Ches Bonnell, India,Mint Chip Choco,01/19/2021,15407,103,771
,,Gunar Cockshoot,New Zealand,Caramel Stuffed Bars,01/19/2021,10129,134,406
,,Jan Morforth,USA,Smooth Sliky Salty,01/19/2021,16380,203,1092
,,Roddy Speechley, India,White Choc,01/19/2021,3899,102,279
,,Gigi Bohling, Canada,Spicy Special Slims,01/19/2021,12075,264,432
,,Husein Augar,  USA,Manuka Honey Choco,01/19/2021,10696,115,428
,,Beverie Moffet,  USA,Almond Choco,01/19/2021,4039,436,238
,,Madelene Upcott,  India,Peanut Butter Cubes,01/19/2021,5250,410,202
,,Mallorie Waber,  India,99% Dark & Pure,01/19/2021,8113,25,508
,,Ches Bonnell,UK,Eclairs,01/19/2021,161,95,10
,,Kaine Padly,   UK,Spicy Special Slims,01/19/2021,8218,205,294
,,Curtice Advani, Australia,Baker's Choco Chips,01/19/2021,742,80,53
,,Gunar Cockshoot,   USA,After Nines,01/19/2021,3087,193,111
,,Ches Bonnell,   India,Manuka Honey Choco,01/19/2021,5110,131,155
,,Wilone O'Kielt,New Zealand,Raspberry Choco,01/19/2021,5873,164,267
,,Husein Augar, UK,Mint Chip Choco,01/19/2021,4641,301,357
,,Wilone O'Kielt, New Zealand,Peanut Butter Cubes,01/20/2021,1155,34,45
,,Brien Boise,   UK,50% Dark Bites,01/20/2021,784,247,49
,,Camilla Castle, New Zealand,Mint Chip Choco,01/20/2021,5369,16,384
,,Brien Boise,   Canada,Eclairs,01/20/2021,343,338,18
,,Brien Boise,UK,70% Dark Bites,01/20/2021,7007,38,584
,,Kelci Walkden,   India,Baker's Choco Chips,01/20/2021,126,127,13
,,Marney O'Breen,India,99% Dark & Pure,01/20/2021,3073,57,134
,,Beverie Moffet,   New Zealand,Choco Coated Almonds,01/21/2021,7805,86,488
,,Andria Kimpton, UK,After Nines,01/21/2021,3087,14,124
,,Jan Morforth,New Zealand,Choco Coated Almonds,01/21/2021,9030,85,452
,,Wilone O'Kielt,USA,Smooth Sliky Salty,01/21/2021,7805,6,411
,,Madelene Upcott,  India,After Nines,01/21/2021,6979,38,233
,,Beverie Moffet,India,Drinking Coco,01/21/2021,11284,39,513
,,Rafaelita Blaksland,  Australia,Milk Bars,01/21/2021,2408,106,90
,,Gunar Cockshoot, UK,50% Dark Bites,01/21/2021,5299,86,332
,,Brien Boise,  UK,Organic Choco Syrup,01/21/2021,6293,158,234
,,Ches Bonnell, Australia,Almond Choco,01/21/2021,280,408,17
,,Gigi Bohling,India,85% Dark Bars,01/21/2021,644,483,30
,,Kaine Padly,   Australia,Choco Coated Almonds,01/21/2021,2191,65,110
,,Marney O'Breen,  New Zealand,Choco Coated Almonds,01/21/2021,427,267,26
,,Dotty Strutley, Canada,Smooth Sliky Salty,01/21/2021,5537,346,426
,,Madelene Upcott,   Australia,99% Dark & Pure,01/21/2021,742,264,31
,,Van Tuxwell,Canada,85% Dark Bars,01/21/2021,4200,457,248
,,Ches Bonnell, UK,Baker's Choco Chips,01/21/2021,5299,203,442
,,Ches Bonnell,   USA,Caramel Stuffed Bars,01/21/2021,3829,286,160
,,Oby Sorrel,  New Zealand,Manuka Honey Choco,01/21/2021,5747,70,192
,,Curtice Advani, New Zealand,85% Dark Bars,01/21/2021,2345,199,147
,,Karlen McCaffrey,New Zealand,Orange Choco,01/22/2021,4312,181,616
,,Camilla Castle, New Zealand,85% Dark Bars,01/22/2021,1358,68,68
,,Barr Faughny,USA,Orange Choco,01/22/2021,13146,85,1644
,,Gigi Bohling,  Australia,White Choc,01/22/2021,12047,295,927
,,Ches Bonnell,Canada,Smooth Sliky Salty,01/22/2021,5971,44,460
,,Marney O'Breen,  New Zealand,50% Dark Bites,01/22/2021,3038,280,254
,,Oby Sorrel,  UK,Organic Choco Syrup,01/22/2021,8022,167,268
,,Marney O'Breen,  Canada,Baker's Choco Chips,01/22/2021,2226,1,248
,,Brien Boise,Canada,Caramel Stuffed Bars,01/22/2021,2366,470,79
,,Roddy Speechley,   Australia,50% Dark Bites,01/22/2021,8386,194,599
,,Gunar Cockshoot,  Canada,Organic Choco Syrup,01/22/2021,13230,261,576
,,Rafaelita Blaksland,  UK,Almond Choco,01/22/2021,1771,151,111
,,Jan Morforth, UK,Raspberry Choco,01/22/2021,3416,458,228
,,Rafaelita Blaksland, UK,85% Dark Bars,01/22/2021,15197,11,634
,,Ches Bonnell,New Zealand,Baker's Choco Chips,01/22/2021,5971,59,498
,,Dennison Crosswaite, UK,Orange Choco,01/22/2021,13335,227,1667
,,Van Tuxwell,   Canada,Choco Coated Almonds,01/22/2021,4613,54,210
,,Karlen McCaffrey,India,Fruit & Nut Bars,01/22/2021,10430,110,580
,,Oby Sorrel,USA,Almond Choco,01/22/2021,168,94,10
,,Camilla Castle, UK,99% Dark & Pure,01/22/2021,4606,256,192
,,Husein Augar, UK,White Choc,01/22/2021,1491,193,136
,,Dennison Crosswaite,India,99% Dark & Pure,01/25/2021,12194,302,509
,,Karlen McCaffrey, UK,Raspberry Choco,01/25/2021,10122,206,533
,,Andria Kimpton,Australia,99% Dark & Pure,01/25/2021,1841,164,88
,,Marney O'Breen,  UK,Orange Choco,01/25/2021,6958,337,580
,,Kaine Padly,  India,99% Dark & Pure,01/25/2021,749,323,35
,,Marney O'Breen,UK,Raspberry Choco,01/25/2021,3507,48,195
,,Rafaelita Blaksland,New Zealand,Baker's Choco Chips,01/25/2021,7294,122,562
,,Brien Boise,   India,Fruit & Nut Bars,01/25/2021,5040,219,420
,,Brien Boise, India,Organic Choco Syrup,01/25/2021,3913,257,157
,,Andria Kimpton,USA,50% Dark Bites,01/25/2021,3598,101,300
,,Beverie Moffet,  USA,Spicy Special Slims,01/25/2021,8911,302,319
,,Ches Bonnell,   New Zealand,Peanut Butter Cubes,01/25/2021,42,35,2
,,Jan Morforth,   India,Choco Coated Almonds,01/25/2021,2282,222,109
,,Van Tuxwell,   Canada,99% Dark & Pure,01/25/2021,12964,242,541
,,Andria Kimpton,Canada,Smooth Sliky Salty,01/25/2021,5775,219,361
,,Marney O'Breen,New Zealand,Spicy Special Slims,01/25/2021,10787,100,400
,,Oby Sorrel, Australia,Choco Coated Almonds,01/25/2021,6342,115,374
,,Dotty Strutley,India,Peanut Butter Cubes,01/25/2021,11564,46,463
,,Gunar Cockshoot, USA,Raspberry Choco,01/25/2021,2793,37,156
,,Madelene Upcott,   Canada,70% Dark Bites,01/25/2021,1603,81,134
,,Curtice Advani,   Australia,Almond Choco,01/25/2021,3052,357,180
,,Karlen McCaffrey,   Canada,Choco Coated Almonds,01/25/2021,1659,82,83
,,Barr Faughny, New Zealand,Mint Chip Choco,01/25/2021,3143,82,210
,,Dennison Crosswaite,   USA,Choco Coated Almonds,01/25/2021,12782,212,609
,,Mallorie Waber,  New Zealand,70% Dark Bites,01/25/2021,343,313,32
,,Brien Boise, New Zealand,White Choc,01/25/2021,1785,216,138
,,Brien Boise,   Canada,Orange Choco,01/25/2021,4914,46,615
,,Madelene Upcott,   UK,White Choc,01/26/2021,1869,242,208
,,Wilone O'Kielt,   India,Spicy Special Slims,01/26/2021,8512,173,387
,,Van Tuxwell,UK,Orange Choco,01/26/2021,9296,1,716
,,Oby Sorrel,Australia,Drinking Coco,01/26/2021,6034,229,263
,,Jehu Rudeforth, India,After Nines,01/26/2021,9471,166,365
,,Kelci Walkden,   India,Peanut Butter Cubes,01/26/2021,3815,146,166
,,Barr Faughny, New Zealand,Eclairs,01/26/2021,9485,140,527
,,Marney O'Breen,USA,Organic Choco Syrup,01/26/2021,3549,78,132
,,Wilone O'Kielt,  UK,Orange Choco,01/26/2021,1512,61,117
,,Jan Morforth,Canada,Organic Choco Syrup,01/26/2021,2296,113,96
,,Husein Augar, India,Milk Bars,01/27/2021,17402,43,697
,,Kelci Walkden, UK,Fruit & Nut Bars,01/27/2021,11816,160,844
,,Rafaelita Blaksland,  New Zealand,Organic Choco Syrup,01/27/2021,10612,232,425
,,Barr Faughny, USA,Milk Bars,01/27/2021,5558,263,192
,,Mallorie Waber, UK,Raspberry Choco,01/27/2021,14056,148,781
,,Andria Kimpton, USA,Organic Choco Syrup,01/27/2021,5131,171,166
,,Marney O'Breen,  USA,99% Dark & Pure,01/27/2021,1477,352,87
,,Curtice Advani, Australia,Raspberry Choco,01/27/2021,7686,72,549
,,Van Tuxwell,  UK,85% Dark Bars,01/27/2021,8722,35,460
,,Ches Bonnell,UK,Organic Choco Syrup,01/27/2021,6370,35,206
,,Gunar Cockshoot,   UK,85% Dark Bars,01/27/2021,4074,208,240
,,Roddy Speechley, New Zealand,After Nines,01/27/2021,1309,97,51
,,Kaine Padly,Australia,Smooth Sliky Salty,01/27/2021,4991,137,357
,,Wilone O'Kielt, Canada,Peanut Butter Cubes,01/27/2021,6965,91,367
,,Kelci Walkden, Australia,Manuka Honey Choco,01/27/2021,10199,497,408
,,Karlen McCaffrey,  New Zealand,Choco Coated Almonds,01/27/2021,7392,9,390
,,Barr Faughny,   New Zealand,Fruit & Nut Bars,01/27/2021,5880,71,392
,,Wilone O'Kielt,  USA,After Nines,01/27/2021,5950,25,238
,,Dotty Strutley,   USA,Organic Choco Syrup,01/27/2021,10395,57,336
,,Jehu Rudeforth,  India,Drinking Coco,01/27/2021,6174,33,247
,,Wilone O'Kielt,   New Zealand,70% Dark Bites,01/27/2021,15239,170,1524
,,Mallorie Waber,Canada,Orange Choco,01/27/2021,2219,145,247
,,Rafaelita Blaksland,New Zealand,70% Dark Bites,01/27/2021,3150,70,243
,,Rafaelita Blaksland,  UK,Baker's Choco Chips,01/27/2021,2968,216,212
,,Dennison Crosswaite, Canada,Mint Chip Choco,01/27/2021,3241,199,163
,,Kelci Walkden,   Canada,Drinking Coco,01/27/2021,3605,120,151
,,Oby Sorrel,   Canada,99% Dark & Pure,01/28/2021,3640,169,174
,,Husein Augar,  Canada,99% Dark & Pure,01/28/2021,1309,294,77
,,Jan Morforth, India,Eclairs,01/28/2021,10346,131,739
,,Kelci Walkden, Canada,Raspberry Choco,01/28/2021,1071,359,54
,,Husein Augar,UK,70% Dark Bites,01/28/2021,6328,119,791
,,Kaine Padly,   Canada,After Nines,01/28/2021,1820,143,68
,,Andria Kimpton, India,Choco Coated Almonds,01/28/2021,3437,179,157
,,Rafaelita Blaksland,   UK,White Choc,01/28/2021,4550,214,455
,,Barr Faughny,  Canada,Drinking Coco,01/28/2021,2968,259,110
,,Dotty Strutley,   USA,Eclairs,01/28/2021,12565,4,898
,,Rafaelita Blaksland,  Canada,Milk Bars,01/28/2021,8246,294,318
,,Andria Kimpton,   India,Mint Chip Choco,01/28/2021,1190,137,70
,,Roddy Speechley,  New Zealand,Eclairs,01/28/2021,3283,146,183
,,Ches Bonnell,   Australia,Manuka Honey Choco,01/28/2021,3087,300,115
,,Oby Sorrel,  India,Choco Coated Almonds,01/28/2021,6531,244,297
,,Marney O'Breen, USA,White Choc,01/28/2021,4228,55,249
,,Roddy Speechley,  USA,Caramel Stuffed Bars,01/28/2021,10094,118,389
,,Mallorie Waber,   New Zealand,Milk Bars,01/28/2021,182,46,6
,,Jehu Rudeforth, New Zealand,White Choc,01/28/2021,616,151,37
,,Roddy Speechley, USA,Smooth Sliky Salty,01/29/2021,12131,121,809
,,Kaine Padly,USA,Drinking Coco,01/29/2021,2394,323,93
,,Karlen McCaffrey,   India,White Choc,01/29/2021,14287,89,841
,,Husein Augar,New Zealand,Almond Choco,01/29/2021,10941,185,730
,,Roddy Speechley,UK,Drinking Coco,01/29/2021,7777,345,260
,,Curtice Advani, Canada,Orange Choco,01/29/2021,9436,7,858
,,Kaine Padly,   Canada,Fruit & Nut Bars,01/29/2021,1267,104,116
,,Kaine Padly, USA,After Nines,01/29/2021,8806,32,327
,,Curtice Advani, UK,Choco Coated Almonds,01/29/2021,3640,403,243
,,Kaine Padly,UK,Caramel Stuffed Bars,01/29/2021,4900,239,182
,,Madelene Upcott,Australia,White Choc,01/29/2021,5558,219,348
,,Camilla Castle,New Zealand,Almond Choco,01/29/2021,9142,1,436
,,Dennison Crosswaite,UK,Mint Chip Choco,01/29/2021,3514,143,235
,,Beverie Moffet, Canada,50% Dark Bites,01/29/2021,140,91,10
,,Kelci Walkden, UK,Spicy Special Slims,02/01/2021,11844,211,439
,,Gunar Cockshoot, New Zealand,Milk Bars,02/01/2021,6517,54,233
,,Kaine Padly,  India,Milk Bars,02/01/2021,8715,24,282
,,Gigi Bohling,   India,Organic Choco Syrup,02/01/2021,4851,455,180
,,Barr Faughny, USA,Organic Choco Syrup,02/01/2021,10983,185,379
,,Mallorie Waber,Australia,Baker's Choco Chips,02/01/2021,3290,75,329
,,Husein Augar,  Australia,Organic Choco Syrup,02/01/2021,6545,86,212
,,Gunar Cockshoot,   Canada,70% Dark Bites,02/01/2021,441,7,45
,,Dotty Strutley,India,Choco Coated Almonds,02/01/2021,9849,75,580
,,Andria Kimpton,New Zealand,White Choc,02/01/2021,3073,9,308
,,Rafaelita Blaksland,USA,Organic Choco Syrup,02/01/2021,4452,75,149
,,Karlen McCaffrey,Canada,85% Dark Bars,02/01/2021,10220,105,538
,,Andria Kimpton,UK,70% Dark Bites,02/01/2021,3150,11,210
,,Kaine Padly, USA,Smooth Sliky Salty,02/01/2021,6083,43,381
,,Ches Bonnell,UK,Fruit & Nut Bars,02/01/2021,14063,140,1407
,,Kaine Padly,  UK,70% Dark Bites,02/01/2021,4578,256,306
,,Beverie Moffet,   India,White Choc,02/01/2021,6454,21,461
,,Kelci Walkden,  USA,Manuka Honey Choco,02/02/2021,6650,166,256
,,Barr Faughny, India,Peanut Butter Cubes,02/02/2021,2436,203,94
,,Mallorie Waber,  New Zealand,Choco Coated Almonds,02/02/2021,6944,33,331
,,Gigi Bohling,  India,After Nines,02/02/2021,19817,126,684
,,Barr Faughny,   India,50% Dark Bites,02/02/2021,3521,50,235
,,Karlen McCaffrey,   USA,After Nines,02/02/2021,10458,546,327
,,Roddy Speechley, New Zealand,99% Dark & Pure,02/02/2021,1302,401,57
,,Brien Boise,Australia,After Nines,02/02/2021,7952,221,249
,,Jan Morforth,  Australia,Eclairs,02/02/2021,4753,133,265
,,Husein Augar, India,85% Dark Bars,02/02/2021,11452,81,546
,,Gunar Cockshoot,  India,Spicy Special Slims,02/02/2021,9345,124,390
,,Marney O'Breen,  India,Mint Chip Choco,02/02/2021,7490,172,357
,,Camilla Castle,India,Organic Choco Syrup,02/02/2021,1519,127,57
,,Andria Kimpton, UK,Smooth Sliky Salty,02/02/2021,3087,135,155
,,Curtice Advani, UK,Smooth Sliky Salty,02/02/2021,2352,178,168
,,Rafaelita Blaksland,  Canada,Baker's Choco Chips,02/02/2021,11578,76,891
,,Husein Augar,USA,Peanut Butter Cubes,02/02/2021,462,223,22
,,Roddy Speechley,India,Caramel Stuffed Bars,02/03/2021,6916,32,315
,,Husein Augar,  India,Orange Choco,02/03/2021,3248,101,542
,,Camilla Castle,  Canada,Milk Bars,02/03/2021,6475,431,240
,,Van Tuxwell, UK,Peanut Butter Cubes,02/03/2021,9009,129,501
,,Rafaelita Blaksland,Canada,White Choc,02/03/2021,2835,20,189
,,Dotty Strutley,India,Milk Bars,02/03/2021,7644,77,294
,,Beverie Moffet,UK,70% Dark Bites,02/03/2021,3360,48,240
,,Beverie Moffet,USA,Mint Chip Choco,02/03/2021,1379,246,99
,,Jehu Rudeforth,USA,Organic Choco Syrup,02/03/2021,9534,229,382
,,Rafaelita Blaksland,USA,Peanut Butter Cubes,02/03/2021,14448,28,657
,,Roddy Speechley,  USA,Baker's Choco Chips,02/03/2021,3829,432,240
,,Gunar Cockshoot, New Zealand,Orange Choco,02/04/2021,9086,206,758
,,Kelci Walkden,   Canada,Milk Bars,02/04/2021,5803,299,194
,,Camilla Castle, UK,Manuka Honey Choco,02/04/2021,182,36,7
,,Madelene Upcott,   UK,85% Dark Bars,02/04/2021,9863,21,520
,,Curtice Advani,   New Zealand,Orange Choco,02/04/2021,4046,80,289
,,Andria Kimpton,  UK,Fruit & Nut Bars,02/04/2021,3493,140,350
,,Jan Morforth,  Canada,Almond Choco,02/04/2021,392,89,18
,,Gigi Bohling, India,Spicy Special Slims,02/04/2021,2534,19,111
,,Jehu Rudeforth,UK,85% Dark Bars,02/04/2021,7084,6,308
,,Gigi Bohling,   UK,Orange Choco,02/04/2021,4809,70,344
,,Marney O'Breen,   Canada,Drinking Coco,02/04/2021,7959,273,266
,,Kelci Walkden,   Canada,99% Dark & Pure,02/04/2021,10521,231,527
,,Kelci Walkden, Canada,Fruit & Nut Bars,02/04/2021,56,168,5
